antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'customer_type_Transient', 'market_segment_Offline TA/TO'})","frozenset({'deposit_type_Non Refund', 'hotel_City Hotel'})",0.13538767845426367,0.29059480983732666,0.10040951152741012,0.741644385026738,2.5521597768449698,1.0,0.061066554852676244,2.74584777356626,0.7034077431377944,0.30840861709520495,0.6358137513569381,0.543587686129065
"frozenset({'deposit_type_Non Refund', 'hotel_City Hotel'})","frozenset({'customer_type_Transient', 'market_segment_Offline TA/TO'})",0.29059480983732666,0.13538767845426367,0.10040951152741012,0.3455309872313921,2.5521597768449698,1.0,0.061066554852676244,1.3210897761043823,0.8573027237764572,0.30840861709520495,0.24304917191260758,0.543587686129065
frozenset({'deposit_type_Non Refund'}),"frozenset({'market_segment_Groups', 'hotel_City Hotel'})",0.32792597117581845,0.21765198307654018,0.17321658861060205,0.5282185732027046,2.426895292826023,1.0,0.1018428506818848,1.6582849016216183,0.8748305744910287,0.46518410499453156,0.3969673130219596,0.6620302845223502
"frozenset({'market_segment_Groups', 'hotel_City Hotel'})",frozenset({'deposit_type_Non Refund'}),0.21765198307654018,0.32792597117581845,0.17321658861060205,0.7958419958419959,2.426895292826023,1.0,0.1018428506818848,3.291930833650014,0.751520929328668,0.46518410499453156,0.6962269104265402,0.6620302845223502
frozenset({'deposit_type_Non Refund'}),"frozenset({'customer_type_Transient', 'market_segment_Offline TA/TO'})",0.32792597117581845,0.13538767845426367,0.10371275368221,0.31626880088312403,2.3360235177528743,1.0,0.05931561773985616,1.2645500492920183,0.8509808345179019,0.28841072102680254,0.20920488630729295,0.5411557908158935
"frozenset({'customer_type_Transient', 'market_segment_Offline TA/TO'})",frozenset({'deposit_type_Non Refund'}),0.13538767845426367,0.32792597117581845,0.10371275368221,0.766042780748663,2.3360235177528743,1.0,0.05931561773985616,2.872636420345644,0.6614781025606248,0.28841072102680254,0.6518877248379115,0.5411557908158935
"frozenset({'market_segment_Groups', 'hotel_City Hotel'})","frozenset({'customer_type_Transient', 'deposit_type_Non Refund'})",0.21765198307654018,0.29206543134460056,0.14789927373922487,0.6795218295218296,2.326608206912646,1.0,0.08433065341896746,2.2089946644388405,0.7288185837165095,0.4087668834417209,0.547305380090615,0.5929563597992602
"frozenset({'customer_type_Transient', 'deposit_type_Non Refund'})","frozenset({'market_segment_Groups', 'hotel_City Hotel'})",0.29206543134460056,0.21765198307654018,0.14789927373922487,0.5063908900766907,2.326608206912646,1.0,0.08433065341896746,1.584954574774787,0.8054272229572764,0.4087668834417209,0.3690670913126363,0.5929563597992602
frozenset({'market_segment_Groups'}),frozenset({'deposit_type_Non Refund'}),0.2736261001380122,0.32792597117581845,0.20611326048100637,0.7532660823548867,2.297061375327973,1.0,0.11638415585419697,2.7238818044904995,0.7773698575150726,0.5212266849753976,0.6328768750716592,0.6909010141317693
frozenset({'deposit_type_Non Refund'}),frozenset({'market_segment_Groups'}),0.32792597117581845,0.2736261001380122,0.20611326048100637,0.6285359459086519,2.297061375327973,1.0,0.11638415585419697,1.9554352348810646,0.8401770501774584,0.5212266849753976,0.48860489871411017,0.6909010141317693
frozenset({'market_segment_Groups'}),"frozenset({'customer_type_Transient', 'deposit_type_Non Refund'})",0.2736261001380122,0.29206543134460056,0.18018507206045387,0.658508351248553,2.2546603622925705,1.0,0.10026834709650446,2.0730655383337533,0.7660988621042003,0.46739832149774047,0.5176225828326876,0.6377211366592134
"frozenset({'customer_type_Transient', 'deposit_type_Non Refund'})",frozenset({'market_segment_Groups'}),0.29206543134460056,0.2736261001380122,0.18018507206045387,0.6169339220698737,2.2546603622925705,1.0,0.10026834709650446,1.8962104496093832,0.786053178902376,0.46739832149774047,0.47263237569121164,0.6377211366592134
frozenset({'market_segment_Groups'}),"frozenset({'deposit_type_Non Refund', 'hotel_City Hotel'})",0.2736261001380122,0.29059480983732666,0.17321658861060205,0.6330411774433603,2.178432497805908,1.0,0.09370226407446709,1.9332010747695743,0.7447326130934334,0.4430042819118158,0.4827232339919975,0.6145585831159498
"frozenset({'deposit_type_Non Refund', 'hotel_City Hotel'})",frozenset({'market_segment_Groups'}),0.29059480983732666,0.2736261001380122,0.17321658861060205,0.5960759887885393,2.1784324978059075,1.0,0.09370226407446709,1.798293440598953,0.7625463416796262,0.4430042819118158,0.443917228732741,0.6145585831159498
"frozenset({'market_segment_Offline TA/TO', 'hotel_City Hotel'})","frozenset({'customer_type_Transient', 'deposit_type_Non Refund'})",0.16213036494038327,0.29206543134460056,0.10040951152741012,0.619313424504605,2.1204612324486045,1.0,0.05305683655703958,1.8596257767538826,0.6306523905021825,0.2838140308243269,0.46225740011757865,0.4815522889817161
"frozenset({'customer_type_Transient', 'deposit_type_Non Refund'})","frozenset({'market_segment_Offline TA/TO', 'hotel_City Hotel'})",0.29206543134460056,0.16213036494038327,0.10040951152741012,0.34379115345882716,2.1204612324486045,1.0,0.05305683655703958,1.2768337999037414,0.7464030034345581,0.2838140308243269,0.21681271276231204,0.4815522889817161
frozenset({'market_segment_Groups'}),"frozenset({'customer_type_Transient', 'deposit_type_Non Refund', 'hotel_City Hotel'})",0.2736261001380122,0.2554356433403471,0.14789927373922487,0.5405159583264428,2.1160553447360892,1.0,0.0780054148157615,1.6204357260107687,0.7261034137808438,0.388021606220692,0.38288203354919464,0.5597619649913879
